date,gold_usd_oz,eur_usd,gld_close,gld_volume,gold_eur_oz,gold_eur_gram,gold_10g_eur
2020-01-02,1524.5,1.1220825910568237,143.9499969482422,7733800.0,1358.6343930032485,43.68107746727052,436.8107746727052
2020-01-03,1549.199951171875,1.1171437501907349,145.86000061035156,12272800.0,1386.7507658771517,44.58503917170581,445.8503917170581
2020-01-06,1566.199951171875,1.1161960363388062,147.38999938964844,14403300.0,1403.1584956251147,45.112559539123076,451.1255953912308
2020-01-07,1571.800048828125,1.1197994947433472,147.97000122070312,7978500.0,1403.6441847014535,45.12817479388022,451.2817479388022
2020-01-08,1557.4000244140625,1.1154738664627075,146.86000061035156,22248500.0,1396.1779574027603,44.88813019122479,448.88130191224786
2020-01-09,1551.699951171875,1.1113210916519165,146.02999877929688,10292300.0,1396.2660862175844,44.890963596302164,448.9096359630216
2020-01-10,1557.5,1.1111111640930176,146.91000366210938,6183300.0,1401.7499331593544,45.06727323803927,450.6727323803927
2020-01-13,1548.4000244140625,1.1116669178009033,145.82000732421875,7593800.0,1392.8632755188069,44.781560773508026,447.8156077350803
2020-01-14,1542.4000244140625,1.1135733127593994,145.69000244140625,6589700.0,1385.0906866581097,44.531666425261136,445.31666425261136
2020-01-15,1552.0999755859375,1.113089919090271,146.5399932861328,6510000.0,1394.4066413380779,44.83118109981442,448.3118109981442
2020-01-16,1549.0,1.1154004335403442,146.30999755859375,6069100.0,1388.7389258791895,44.648959952390875,446.48959952390874
2020-01-17,1558.800048828125,1.1139578819274902,146.5800018310547,11121100.0,1399.334816977928,44.98962550767367,449.89625507673674
2020-01-20,1558.800048828125,1.1094592809677124,146.5800018310547,11121100.0,1405.008796238543,45.17204804084888,451.7204804084888
2020-01-21,1556.4000244140625,1.109693169593811,146.74000549316406,6086100.0,1402.5498823100468,45.09299218126728,450.9299218126728
2020-01-22,1555.300048828125,1.108561396598816,146.7899932861328,4778200.0,1402.9895444672263,45.107127637314974,451.0712763731498
2020-01-23,1564.5999755859375,1.1096439361572266,147.1199951171875,8419800.0,1410.0018254542579,45.332577538034556,453.3257753803456
2020-01-24,1571.0999755859375,1.1055220365524292,147.97999572753906,9919900.0,1421.1385423717227,45.690631034183376,456.9063103418338
2020-01-27,1576.800048828125,1.1025358438491821,148.99000549316406,9988100.0,1430.157629454647,45.98060120097889,459.8060120097889
2020-01-28,1569.199951171875,1.101976990699768,147.66000366210938,7543100.0,1423.986130758878,45.78218305846217,457.8218305846217
2020-01-29,1569.800048828125,1.1022562980651855,148.4600067138672,5013100.0,1424.169724939317,45.788085744026134,457.88085744026137
